text,Gold Label
"When President Obama needed a champion for working people, he called Elizabeth. If you think this is a message that voters need to see, chip in to help us air this ad on TV.",no topic
"When President Obama needed a champion for working people to help fight Washington corruption and take on Wall Street, he called Elizabeth. If you think this is a message that voters need to see before they vote, chip in whatever you can now to help our campaign put this ad all over the airwaves.",no topic
"President Obama called Elizabeth “one of the country’s fiercest advocates for the middle class.” After the big banks crashed our economy in 2008, Elizabeth had the political courage, original thinking, and persistence to call for a new agency to fight for consumers. That’s why President Obama picked her to create the Consumer Financial Protection Bureau — to protect consumers from financial tricks and traps often hidden in mortgages, credit cards, and other financial products. That agency has now returned $12 billion to people who were cheated by big banks and other financial firms. 

Elizabeth understands what’s broken, she knows how to fix it, and she’ll fight to get it done. Cast your vote for Elizabeth, and mail in your ballot today!",economic
"Elizabeth isn’t afraid to stand up to billionaires and corrupt politicians. She’s been doing it for years. Cast your vote for Elizabeth, and mail in your ballot today!",no topic
"The Nevada caucuses are almost here! 

There’s a lot of work left to do, so we’ve set an ambitious goal of raising $7 million before February 22nd. These are the LAST moments we have to make a difference. Can we count on you?

Chip in today and make an impact before it’s too late.",no topic
"The Nevada caucuses are almost here! There’s a lot of work left to do, so we’ve set an ambitious goal of raising $7 million before the 22nd. Chip in today and make an impact before it’s too late.",no topic
I’m not afraid to stand up to billionaires and corrupt politicians. I’ve been doing it for years.,no topic
"President Obama called Elizabeth “one of the country’s fiercest advocates for the middle class.” After the big banks crashed our economy in 2008, Elizabeth had the political courage, original thinking, and persistence to call for a new agency to fight for consumers. That’s why President Obama picked her to create the Consumer Financial Protection Bureau — to protect consumers from financial tricks and traps often hidden in mortgages, credit cards, and other financial products. That agency has now returned $12 billion to people who were cheated by big banks and other financial firms. 

Elizabeth understands what’s broken, she knows how to fix it, and she’ll fight to get it done. Click here to learn more about Elizabeth.",economic
"I’m so grateful for the support of this grassroots team, but our movement needs critical funds so I can remain competitive through Super Tuesday.

We’re setting an ambitious goal of raising $7 million before the Nevada caucuses next week. Now, this is our biggest goal yet, but I believe this grassroots movement can do it.

Chip in $3, $20, or whatever you can right now so we can reach our $7 million goal and continue to grow our movement.",no topic
"Last quarter, Bernie Sanders, Pete Buttigieg and Joe Biden all raised more money than our campaign did. We can win, but starting the year behind the other campaigns means that we need to pick up the pace now. Will you chip in $5, $20 or whatever you can to help this campaign keep fighting?",no topic
"Last quarter, Bernie Sanders, Pete Buttigieg and Joe Biden all raised more money than our campaign did. Will you chip in $5, $20 or whatever you can to help this campaign keep fighting?",no topic
"For months, Elizabeth has been near or at the top of the list of candidates that voters are considering for president. Elizabeth is best positioned to unite the party and lead the Democratic ticket to defeat Donald Trump.

With a strong organization of more than 1,000 staff on the ground in 31 states, bolstered by a movement of more than 1,000,000 grassroots donors, we are confident that as Americans continue to get to know Elizabeth, they'll see what we see every day: Elizabeth is the only candidate who can unite the party and defeat Donald Trump in November. 

But the only way we'll win this nomination is if everyone reading this digs deep and funds our 100% grassroots-funded campaign. Can you help us keep moving forward? Chip in $2, $20 or whatever you can to power this movement through the critical races to come.",no topic
"Every one of the Democratic candidates remaining would make a better president than Donald Trump. But the race for the Democratic nomination is a fractured one. It's not a straightforward narrative captured by glancing at a map, and the process won't be decided by the simple horse race numbers in clickbait headlines. That's never been our focus — our focus is on building a broad coalition to win delegates everywhere.

For months, Elizabeth has been near or at the top of the list of candidates that voters are considering for president. According to the latest Economist/YouGov poll, 40-50% of voters across all age groups are considering voting for Warren, including 58% of self-described liberals and 38% of self-described moderates. Elizabeth is best positioned to unite the party and lead the Democratic ticket to defeat Donald Trump.

Our campaign is no stranger to being written off or counted out early. But here's what we do know: Elizabeth has proven the doubters wrong before.

Elizabeth is progressive, effective, and has lived a life that has prepared her for this fight. With a strong organization of more than 1,000 staff on the ground in 31 states, bolstered by a movement of more than 1,000,000 grassroots donors, we are confident that as Americans continue to get to know Elizabeth, they'll see what we see every day: Elizabeth is the only candidate who can unite the party and defeat Donald Trump in November. 

But the only way we'll win this nomination is if everyone reading this digs deep and funds our 100% grassroots-funded campaign. Can you help us keep moving forward? Chip in $2, $20 or whatever you can to power this movement through the critical races to come.",no topic
"“She came up with an idea for a new, independent agency standing up for consumers and middle class families. She’s done it while facing some very tough opposition. Fortunately, she’s very tough.” –President Barack Obama

Elizabeth’s original thinking, political courage, and persistence led to the creation of the Consumer Financial Protection Bureau —  a new agency to protect consumers from financial tricks and traps often hidden in mortgages, credit cards, and other financial products. That agency has now returned $12 billion to people who were cheated by big banks and other financial firms. 

President Obama chose Elizabeth because she is “one of the country’s fiercest advocates for the middle class,” and that advocacy will continue when she’s in the White House. Click here to learn more about Elizabeth.",economic
,no topic
"A young woman came up to me after my speech in New Hampshire and told me that she was a college student with thousands of dollars in debt — and she only had $6 in her bank account. 

Then she said that she still chipped in $3 to our campaign that night. Because that was how important this campaign was to her. 

I’m not done fighting for working people, for students, for anybody who believes that we can make things better than they are now. Our campaign is 100% grassroots funded, and we need everyone to dig in deep and chip in $3, $20, or whatever they can today to help us keep moving forward. Can I count on you?",education
"The Nevada caucuses are on February 22nd.

The South Carolina primary is on February 29th.

And Super Tuesday, which is worth a third of the nation’s delegates, is on March 3rd. 

Iowa and New Hampshire may have finished, but this campaign is a marathon, not a sprint. This is crunch time — and a huge opportunity to show the strength of our grassroots movement for big, structural change.

These are our LAST moments to band together and make a difference where it counts in these critical early states before it’s too late. Can Elizabeth count on you?

Chip in $2, $20, or whatever you can spare to help us fund our ground game in Nevada, South Carolina, and beyond.",no topic
"The Nevada caucuses are just DAYS away!

With Iowa and New Hampshire finished, Nevada is the next huge milestone for our campaign; and we’re relying on grassroots donors to help us fund our ground game. 

These are the LAST moments we have to make a difference before Nevadans make their choice. Can we count on you? Chip in today and make an impact before the Nevada caucuses.",no topic
"Elizabeth Warren is returning to Nevada! She will be hosting a Get Out the Caucus Town Hall in Las Vegas on Saturday, February 15 as we build our movement for 2020.",no topic
"Como presidenta, Elizabeth proporcionaría el mayor aumento a los beneficios del Seguro Social en casi medio siglo. Inscríbete hoy y utiliza la calculadora de Elizabeth para ver cuánto aumentarían tus beneficios del Seguro Social bajo su plan. 

***

As president, Elizabeth would provide the biggest increase in Social Security benefits in nearly half a century. Sign up today and use Elizabeth’s calculator to see how much your Social Security benefits would increase under her plan.",social programs
"Una cosa queda clara: ahorrar para una jubilación decente se está volviendo más difícil y el programa del Seguro Social se ha convertido la fuente principal de ingreso para muchos de nosotros que tenemos más de 65 años.

Elizabeth ha ayudado a liderar la lucha en el Congreso para ampliar el programa del Seguro Social y su plan proporcionaría el mayor aumento a los beneficios del Seguro Social en casi medio siglo. Si estás de acuerdo que necesitamos aumentar los beneficios del Seguro Social por $200 al mes y actualizar la reglas, inscríbete hoy para unirte a Elizabeth.

***

One thing is clear: it’s getting harder to save enough for a decent retirement and Social Security has become a main source of income for many of us who are over 65.

Elizabeth has helped lead the fight in Congress to expand Social Security, and her plan would provide the biggest and most progressive increase in Social Security benefits in nearly half a century. If you agree that we need to increase Social Security benefits by $200 a month and update its rules, sign up to join Elizabeth today.",social programs
